Year,Sum of IndicatorValue,AggregationLabel,IndicatorName,Gender,Ethnicity,AgeGrp,IMD,Locality,Sum of LowerCI95,Sum of UpperCI95,ICB
2014,18.6,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Bangladeshi,65+ yrs,NULL,NULL,18.6,18.6,BSOL ICB
2014,18.3,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Bangladeshi,65+ yrs,Q1,NULL,18.3,18.3,BSOL ICB
2014,11.3,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black African,65+ yrs,NULL,NULL,11.3,11.3,BSOL ICB
2014,11.4,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black African,65+ yrs,Q1,NULL,11.4,11.4,BSOL ICB
2014,9.43,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black African,65+ yrs,Q2,NULL,9.43,9.43,BSOL ICB
2014,12,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black African,65+ yrs,Q3,NULL,12,12,BSOL ICB
2014,17.4,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black Caribbean,65+ yrs,NULL,NULL,17.4,17.4,BSOL ICB
2014,17.2,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black Caribbean,65+ yrs,Q1,NULL,17.2,17.2,BSOL ICB
2014,14.8,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black Caribbean,65+ yrs,Q2,NULL,14.8,14.8,BSOL ICB
2014,13.8,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black Caribbean,65+ yrs,Q3,NULL,13.8,13.8,BSOL ICB
2014,8.18,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Black Caribbean,65+ yrs,Q4,NULL,8.18,8.18,BSOL ICB
2014,13.6,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Indian,65+ yrs,NULL,NULL,13.6,13.6,BSOL ICB
2014,13.6,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Indian,65+ yrs,Q1,NULL,13.6,13.6,BSOL ICB
2014,12.5,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Indian,65+ yrs,Q2,NULL,12.5,12.5,BSOL ICB
2014,12.1,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Indian,65+ yrs,Q3,NULL,12.1,12.1,BSOL ICB
2014,11.3,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Indian,65+ yrs,Q4,NULL,11.3,11.3,BSOL ICB
2014,2.75,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Indian,65+ yrs,Q5,NULL,2.75,2.75,BSOL ICB
2014,11.4,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Mixed,65+ yrs,NULL,NULL,11.4,11.4,BSOL ICB
2014,10.3,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Mixed,65+ yrs,Q1,NULL,10.3,10.3,BSOL ICB
2014,9.56,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,Mixed,65+ yrs,Q2,NULL,9.56,9.57,BSOL ICB
2014,11.5,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,NULL,11.5,11.5,BSOL ICB
2014,11.3,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,Q1,NULL,11.3,11.3,BSOL ICB
2014,11.7,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,Q2,NULL,11.7,11.7,BSOL ICB
2014,12.6,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,Q3,NULL,12.6,12.6,BSOL ICB
2014,12.2,Birmingham,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,Q4,NULL,12.2,12.2,BSOL ICB
