Year,Sum of IndicatorValue,AggregationLabel,IndicatorName,Gender,Ethnicity,AgeGrp,IMD,Locality,Sum of LowerCI95,Sum of UpperCI95
2014,10.6,Acocks Green,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,10.6,10.6
2014,9.49,Acocks Green,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,9.49,9.5
2014,13.07,Acocks Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,12.32,13.870000000000001
2014,13.07,Acocks Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,12.32,13.870000000000001
2014,12.1,Allens Cross,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,12.1,12.1
2014,11.8,Allens Cross,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,11.8,11.8
2014,7.999999999999999,Allens Cross,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,7.2700000000000005,8.87
2014,7.999999999999999,Allens Cross,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,7.2700000000000005,8.87
2014,14.1,Alum Rock,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,14.1,14.1
2014,9.79,Alum Rock,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,9.79,9.79
2014,19.15,Alum Rock,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,18.16,20.28
2014,19.15,Alum Rock,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,18.16,20.28
2014,11.5,Aston,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,11.5,11.5
2014,10.2,Aston,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,10.2,10.2
2014,51.7,Aston,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,49.7,53.8
2014,51.7,Aston,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,49.7,53.8
2014,14.1,Balsall Heath West,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,14.1,14.1
2014,8.9,Balsall Heath West,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,8.9,8.9
2014,21.13,Balsall Heath West,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,19.53,22.759999999999998
2014,21.13,Balsall Heath West,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,Central,19.53,22.759999999999998
2014,10.8,Bartley Green,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,10.8,10.8
2014,9.53,Bartley Green,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,9.53,9.53
2014,12.54,Bartley Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,11.68,13.45
2014,12.54,Bartley Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,11.68,13.45
2014,10.6,Billesley,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,10.6,10.6
2014,9.58,Billesley,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,9.58,9.59
2014,10.6,Billesley,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,9.979999999999999,11.3
2014,10.6,Billesley,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,Central,9.979999999999999,11.3
2014,13,Birchfield,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,13,13
2014,12.1,Birchfield,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,12.1,12.1
2014,34.9,Birchfield,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,32.699999999999996,37.2
2014,34.9,Birchfield,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,32.699999999999996,37.2
2014,10.6,Bordesley & Highgate,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,10.6,10.6
2014,8.39,Bordesley & Highgate,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,8.39,8.39
2014,19.13,Bordesley & Highgate,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,17.72,20.689999999999998
2014,19.13,Bordesley & Highgate,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,17.72,20.689999999999998
2014,10.4,Bordesley Green,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,10.4,10.4
2014,9.69,Bordesley Green,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,9.69,9.69
2014,27.369999999999997,Bordesley Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,25.71,29.32
2014,27.369999999999997,Bordesley Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,25.71,29.32
2014,10,Bournbrook & Selly Park,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,10,10
2014,9.8,Bournbrook & Selly Park,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,9.8,9.81
2014,8.23,Bournbrook & Selly Park,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,7.36,9.27
2014,8.23,Bournbrook & Selly Park,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q2,Central,7.36,9.27
2014,11.5,Bournville & Cotteridge,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,11.5,11.5
2014,10.1,Bournville & Cotteridge,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,10.1,10.1
2014,8.69,Bournville & Cotteridge,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,8.02,9.42
2014,8.69,Bournville & Cotteridge,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q2,Central,8.02,9.42
2014,12.1,Brandwood & King's Heath,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,12.1,12.1
2014,10.9,Brandwood & King's Heath,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,10.9,10.9
2014,9.26,Brandwood & King's Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,8.71,9.879999999999999
2014,9.26,Brandwood & King's Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,Central,8.71,9.879999999999999
2014,10.3,Bromford & Hodge Hill,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,10.3,10.3
2014,9.53,Bromford & Hodge Hill,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,9.53,9.53
2014,11.940000000000001,Bromford & Hodge Hill,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,11.129999999999999,12.829999999999998
2014,11.940000000000001,Bromford & Hodge Hill,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,11.129999999999999,12.829999999999998
2014,9.33,Castle Vale,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,North,9.33,9.33
2014,8.31,Castle Vale,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,North,8.31,8.31
2014,14.330000000000002,Castle Vale,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,North,12.950000000000001,15.84
2014,14.330000000000002,Castle Vale,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,North,12.950000000000001,15.84
2014,12.1,Druids Heath & Monyhull,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,12.1,12.1
2014,9.61,Druids Heath & Monyhull,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,9.6,9.61
2014,9.21,Druids Heath & Monyhull,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,8.52,9.94
2014,9.21,Druids Heath & Monyhull,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,Central,8.52,9.94
2014,12.4,Edgbaston,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,12.4,12.4
2014,11.5,Edgbaston,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,11.5,11.5
2014,9.46,Edgbaston,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,8.549999999999999,10.49
2014,9.46,Edgbaston,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q3,South,8.549999999999999,10.49
2014,11.2,Erdington,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,North,11.2,11.2
2014,10.1,Erdington,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,North,10.1,10.1
2014,10.870000000000001,Erdington,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,North,10.02,11.790000000000001
2014,10.870000000000001,Erdington,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,North,10.02,11.790000000000001
2014,9.95,Frankley Great Park,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,9.95,9.95
